               E1 ,                E2
    5832.86264311 ,     6638.26538318
    3833.46377973 ,     3919.11428855
     55.355630269 ,     2696.35642923
    1805.88438882 ,     88.0166506215
    11449.8486838 ,     3335.32922101
    18767.5101964 ,     360.259642178
    17823.1604109 ,     23.0876489865
    9556.93362422 ,     4405.23434232
    4269.01845961 ,     599.356107534
    8772.18719531 ,     2025.36348045
    608.897587882 ,     5062.59743672
    282.920769533 ,     1265.45530323
    9929.16845431 ,     157.431302638
    2483.56110225 ,      10509.832844
    5225.01770907 ,     1911.26743875
    27651.1767882 ,     2318.33855698
    774.199977926 ,     2740.96599126
    20980.6221744 ,     3342.98761264
    12135.1794504 ,     3555.28185025
    6680.70508288 ,     5621.01478486
    26520.0029702 ,     3250.65051066
    4882.64665319 ,     1432.76481646
    58904.7953432 ,     11590.7142873
    11105.0061875 ,     1146.78904392
    4880.00652561 ,     4356.62341005
    5238.80263482 ,     12742.9024621
    155.966791885 ,     33.9570329635
    329.145635279 ,      55.297845778
    29914.6904043 ,     5335.34987126
    28716.0625323 ,     14301.9531748
    315.357593221 ,     7252.00654348
    7157.32933882 ,      348.81820638
    2334.96235281 ,     34.2761804419
    10266.1815157 ,     21995.5406328
    8697.33575751 ,     9518.02989466
     144.53154213 ,      334.24239578
    55563.4125089 ,     28035.4213355
    44145.4769972 ,      27733.463944
    4910.19120966 ,     1557.09160818
    22129.8327792 ,     1547.36219823
    5076.59140959 ,     1637.24811459
     2404.6670568 ,     4028.28044837
    394.310252508 ,     4586.26867544
    50.2713540154 ,     23870.2731705
    1013.71483652 ,     44.8669158629
    40043.4265504 ,     2314.10924052
    17197.1592957 ,     3377.83393055
    259.253785225 ,     162.247239208
    1632.80291314 ,     310.617814963
    13954.7572708 ,     21494.6494598
    12827.4107011 ,     11996.2037963
    254.201394103 ,     4854.70003987
    2967.17718728 ,     7226.21124979
    969.565851147 ,      4295.7357357
     4860.7420592 ,     2167.77489696
    9735.27001959 ,     4076.62894466
    3828.26598637 ,     458.788482489
    9091.93297474 ,     68.0953525712
    453.608285146 ,     14710.3132481
    20090.0128278 ,     6122.32399958
    1229.39759747 ,     9806.82715719
    29448.7496767 ,      31.986557276
    14293.6152361 ,     21685.2797678
    9969.66004313 ,     2567.91730311
    10707.3879756 ,     1568.55740658
    23755.8615801 ,     723.485086953
    9410.41045812 ,     1568.93526048
    16121.3019265 ,     2046.64424165
    2340.57660181 ,     166.297354901
    2429.54063491 ,     986.669899296
